CUE,DOM,SUB,UNRELATED
ARMS,legs,weapons,tough
BALL,round,dance,split
BANK,money,river,stock
BAR,drink,cage,truly
BATTERY,acid,assault,waves
BEAM,light,balance,spirit
BEEF,steak,complaint,western
BILL,check,law,send
BOLT,screw,lightning,robbery
BULB,light,flower,steak
CABINET,kitchen,member,product
CABLE,television,cord,whistle
CALF,cow,leg,wet
CANE,old,sugar,stinks
CHEST,breast,treasure,stepped
CLOG,drain,shoe,wade
CLUB,group,wood,white
COAT,jacket,paint,trade
CRICKET,insect,sport,skill
CRUST,pie,earth,shop
CYCLE,bike,repeat,sander
DECK,porch,cards,order
DEGREE,college,temperature,recognize
DIAMOND,ring,baseball,yacht
DIGIT,number,finger,needed
DOUGH,bread,money,uncle
FAN,air,football,upon
FAULT,blame,earthquake,revenge
FOOT,toe,inch,pan
GAME,football,hunt,winner
GAS,fuel,solid,slave
GRADE,test,slope,clown
GRAIN,wheat,sand,tool
HABIT,bad,nun,vows
HORN,trumpet,antler,wrecks
IRON,steel,clothes,taught
JOINT,elbow,marijuana,busting
KEY,lock,piano,sees
KID,child,goat,wash
LETTER,mail,alphabet,towels
LIMB,arm,branch,wire
LOG,cabin,journal,stroke
MARBLE,counter,round,treat
MASS,weight,church,united
NAIL,hammer,polish,waters
NET,soccer,profit,idiots
NOTE,memo,music,weak
NUT,almond,crazy,wagon
PALM,hand,tree,sign
PEN,pencil,cage,rifle
PIT,hole,cherry,wheel
PLOT,story,land,sexy
POKER,chips,fire,wind
POOL,water,billiards,servant
PUPIL,student,eye,using
RACKET,tennis,noise,value
RULER,measure,king,spell
SCALE,weight,fish,spot
SEAL,animal,envelope,yelling
SENTENCE,paragraph,prison,traveled
SHOCK,scare,electricity,suggest
SHOWER,bath,rain,dean
STAFF,faculty,stick,year
STRAW,hay,cup,dean
TEMPLE,church,forehead,windows
TIP,money,point,colour
TRUNK,car,elephant,truck
YARD,fence,mile,unit
YARN,wool,story,woke
VOLUME,sound,liquid,energy
STUD,man,wall,head
STAG,alone,deer,magic
